ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Meta: product_image_url
300,variable,,Tata Sampann Toor Dal,1,0,visible,,,,,taxable,,1,10,,0,0,,,,,1,,,,Fruits & Vegetables,,,,,,,,,,,,0,Weight,"2 kg – 199, 1 kg – 110, 5 kg - 455",1,1,2 kg – 199,https://ik.imagekit.io/gro/dals/1.jpg
301,variation,,Tata Sampann Toor Dal - 2 kg – ₹199,1,0,visible,,,,,taxable,parent,1,10,,0,0,2,,,,0,,199,298,,,,,,,id:300,,,,,,1,Weight,2 kg – 199,,1,,
302,variation,,Tata Sampann Toor Dal - 1 kg – ₹110,1,0,visible,,,,,taxable,parent,1,10,,0,0,1,,,,0,,110,149,,,,,,,id:300,,,,,,2,Weight,1 kg – 110,,1,,
303,variation,,Tata Sampann Toor Dal - 5 kg – ₹455,1,0,visible,,,,,taxable,parent,1,10,,0,0,5,,,,0,,455,745,,,,,,,id:300,,,,,,3,Weight,5 kg - 455,,1,,
304,variable,,Tata Sampann Urad Dal Whole White,1,0,visible,,,,,taxable,,1,10,,0,0,,,,,1,,,,Fruits & Vegetables,,,,,,,,,,,,0,Weight,"1 kg – 125, 2 kg - 210",1,1,1 kg – 125,https://ik.imagekit.io/gro/dals/2.jpg
305,variation,,Tata Sampann Urad Dal Whole White - 1 kg – ₹125,1,0,visible,,,,,taxable,parent,1,10,,0,0,1,,,,0,,125,200,,,,,,,id:304,,,,,,1,Weight,1 kg – 125,,1,,
306,variation,,Tata Sampann Urad Dal Whole White - 2 kg – ₹210,1,0,visible,,,,,taxable,parent,1,10,,0,0,2,,,,0,,210,400,,,,,,,id:304,,,,,,2,Weight,2 kg - 210,,1,,
307,variable,,Tata Sampann Channa Dal,1,0,visible,,,,,taxable,,1,10,,0,0,,,,,1,,,,Fruits & Vegetables,,,,,,,,,,,,0,Weight,"2 kg – 160, 1 kg – 90, 5 kg - 359",1,1,2 kg – 160,https://ik.imagekit.io/gro/dals/3.jpg
308,variation,,Tata Sampann Channa Dal - 2 kg – ₹125,1,0,visible,,,,,taxable,parent,1,10,,0,0,2,,,,0,,160,230,,,,,,,id:307,,,,,,1,Weight,2 kg – 160,,1,,
309,variation,,Tata Sampann Channa Dal - 1 kg – ₹90,1,0,visible,,,,,taxable,parent,1,10,,0,0,1,,,,0,,90,115,,,,,,,id:307,,,,,,2,Weight,1 kg – 90,,1,,
310,variation,,Tata Sampann Channa Dal - 5 kg – ₹359,1,0,visible,,,,,taxable,parent,1,10,,0,0,5,,,,0,,359,575,,,,,,,id:307,,,,,,3,Weight,5 kg - 359,,1,,
311,variable,,Tata Sampann Moong Dal,1,0,visible,,,,,taxable,,1,10,,0,0,,,,,1,,,,Fruits & Vegetables,,,,,,,,,,,,0,Weight,"1 kg – 129, 2 kg – 249",1,1,1 kg – 129,https://ik.imagekit.io/gro/dals/4.jpg
312,variation,,Tata Sampann Moong Dal - 1 kg – ₹129,1,0,visible,,,,,taxable,parent,1,10,,0,0,1,,,,0,,129,175,,,,,,,id:311,,,,,,1,Weight,1 kg – 129,,1,,
313,variation,,Tata Sampann Moong Dal - 2 kg – ₹249,1,0,visible,,,,,taxable,parent,1,10,,0,0,2,,,,0,,249,350,,,,,,,id:311,,,,,,2,Weight,2 kg – 249,,1,,
314,variable,,Tata Sampann Moong Dal,1,0,visible,,,,,taxable,,1,10,,0,0,,,,,1,,,,Fruits & Vegetables,,,,,,,,,,,,0,Weight,"1 kg – 100, 2 kg – 190",1,1,1 kg – 100,https://ik.imagekit.io/gro/dals/5.jpg
315,variation,,Tata Sampann Moong Dal- 1 kg – ₹100,1,0,visible,,,,,taxable,parent,1,10,,0,0,1,,,,0,,100,109,,,,,,,id:315,,,,,,1,Weight,1 kg – 100,,1,,
316,variation,,Tata Sampann Moong Dal- 2 kg – ₹190,1,0,visible,,,,,taxable,parent,1,10,,0,0,2,,,,0,,190,218,,,,,,,id:315,,,,,,2,Weight,2 kg – 190,,1,,
317,variable,,Zopnow - Urad Dal Black (Split),1,0,visible,,,,,taxable,,1,10,,0,0,,,,,1,,,,Fruits & Vegetables,,,,,,,,,,,,0,Weight,"1 kg – 99, 2 kg – 189",1,1,1 kg – 99,https://ik.imagekit.io/gro/dals/6.jpg
318,variation,,Zopnow - Urad Dal Black (Split) - 1 kg – ₹99,1,0,visible,,,,,taxable,parent,1,10,,0,0,1,,,,0,,99,180,,,,,,,id:317,,,,,,1,Weight,1 kg – 99,,1,,
319,variation,,Zopnow - Urad Dal Black (Split) - 2 kg – ₹189,1,0,visible,,,,,taxable,parent,1,10,,0,0,2,,,,0,,189,360,,,,,,,id:317,,,,,,2,Weight,2 kg – 189,,1,,
320,variable,,Zopnow - Brown Chana/Channa Brown,1,0,visible,,,,,taxable,,1,10,,0,0,,,,,1,,,,Fruits & Vegetables,,,,,,,,,,,,0,Weight,"1 kg – 85, 2 kg – 155",1,1,1 kg – 85,https://ik.imagekit.io/gro/dals/7.jpg
321,variation,,Zopnow - Urad Dal Black (Split) - 1 kg – ₹85,1,0,visible,,,,,taxable,parent,1,10,,0,0,1,,,,0,,85,110,,,,,,,id:320,,,,,,1,Weight,1 kg – 85,,1,,
322,variation,,Zopnow - Urad Dal Black (Split) - 2 kg – ₹85,1,0,visible,,,,,taxable,parent,1,10,,0,0,2,,,,0,,155,220,,,,,,,id:320,,,,,,2,Weight,2 kg – 155,,1,,
323,variable,,Zopnow Peanuts/Mungaphali/Shengdana - Raw,1,0,visible,,,,,taxable,,1,10,,0,0,,,,,1,,,,Fruits & Vegetables,,,,,,,,,,,,0,Weight,"500 gm – 60, 1 kg – 110",1,1,500 gm – 60,https://ik.imagekit.io/gro/dals/8.jpg
324,variation,,Zopnow - Urad Dal Black (Split) - 500 gm – ₹60,1,0,visible,,,,,taxable,parent,1,10,,0,0,0.5,,,,0,,60,82,,,,,,,id:323,,,,,,1,Weight,500 gm – 60,,1,,
325,variation,,Zopnow - Urad Dal Black (Split) - 1 kg – ₹110,1,0,visible,,,,,taxable,parent,1,10,,0,0,1,,,,0,,110,164,,,,,,,id:323,,,,,,2,Weight,1 kg – 110,,1,,
