1129,"Aashirvaad Shudh Chakki Atta",,,,"Cooking Essentials > Atta and Flours"
1130,"Aashirvaad Shudh Chakki Atta - 5 kg pouch - ₹210",,210,285,
1131,"Aashirvaad Shudh Chakki Atta - 2 kg pouch - ₹100",,100,114,
1132,"Aashirvaad Shudh Chakki Atta - 10 kg pouch - ₹400",,400,570,
1133,"Zopnow Maida",,,,"Cooking Essentials > Atta and Flours"
1134,"Zopnow Maida - 2 kg pouch - ₹80",,80,120,
1135,"Zopnow Maida - 1 kg pouch - ₹50",,50,60,
1136,"Zopnow Besan - Flour",,,,"Cooking Essentials > Atta and Flours"
1137,"Zopnow Besan - Flour - 1 kg pouch - ₹70",,70,140,
1138,"Zopnow Besan - Flour - 2 kg pouch - ₹120",,120,280,
1139,"Zopnow Bansi Sooji",,,,"Cooking Essentials > Atta and Flours"
1140,"Zopnow Bansi Sooji - 1 kg pouch - ₹50",,50,75,
1141,"Zopnow Bansi Sooji - 2 kg pouch - ₹80",,80,150,
1142,"Zopnow Wheat Broken/Dalia",,,,"Cooking Essentials > Atta and Flours"
1143,"Zopnow Wheat Broken/Dalia - 1 kg pouch - ₹50",,50,80,
1144,"Zopnow Wheat Broken/Dalia - 2 kg pouch - ₹80",,80,160,
1145,"Zopnow Chiroti Sooji",,,,"Cooking Essentials > Atta and Flours"
1146,"Zopnow Chiroti Sooji - 1 kg pouch - ₹50",,50,60,
1147,"Zopnow Chiroti Sooji - 2 kg pouch - ₹80",,80,120,
1148,"Zopnow Idli - Sooji",,,,"Cooking Essentials > Atta and Flours"
1149,"Zopnow Idli - Sooji - 1 kg pouch - ₹50",,50,60,
1150,"Zopnow Idli - Sooji - 2 kg pouch - ₹80",,80,120,
1151,"Zopnow Ragi Flour/Nachni Atta",,,,"Cooking Essentials > Atta and Flours"
1152,"Zopnow Ragi Flour/Nachni Atta - 1 kg pouch - ₹50",,50,110,
1153,"Zopnow Ragi Flour/Nachni Atta - 2 kg pouch - ₹80",,80,220,
1154,"Zopnow Organic - Rice Flour",,,,"Cooking Essentials > Atta and Flours"
1155,"Zopnow Organic - Rice Flour - 1 kg pouch - ₹50",,50,99,
1156,"Zopnow Organic - Rice Flour - 2 kg pouch - ₹80",,80,198,
1157,"Aashirvaad Multigrains Atta",,,,"Cooking Essentials > Atta and Flours"
1158,"Aashirvaad Multigrains Atta - 5 kg pouch - ₹285",,285,310,
1159,"Aashirvaad Multigrains Atta - 10 kg pouch - ₹550",,550,620,
1160,"Aashirvaad Select Atta",,,,"Cooking Essentials > Atta and Flours"
1161,"Aashirvaad Select Atta - 5 kg pouch - ₹250",,250,300,
1162,"Aashirvaad Select Atta - 10 kg pouch - ₹280",,280,600,
1163,"Pillsbury Atta Chakki Fresh",,,,"Cooking Essentials > Atta and Flours"
1164,"Pillsbury Atta Chakki Fresh - 5 kg pouch - ₹199",,199,245,
1165,"Pillsbury Atta Chakki Fresh - 2 kg pouch - ₹90",,90,98,
